id,,4845b080-fa42-441e-8796-1682541d16c7,ff2f7a0d-ae31-4027-8324-574a7b6e8956,455c0bbf-7c7e-4789-87f6-50f26e6e62c6,c1e2dae7-4994-49b5-b64e-68ac6e3113cf,3500c8e4-ece4-4330-a791-b2f9f8630499,c780c322-fd90-4905-bbbd-75d995407c93,ce08ed38-8287-4164-b658-1cdae67ebf1d,fce7d420-1147-4707-b6f2-986359bed805,059ae877-60dc-43d9-ae9c-39b8884b72a1,d1cb9490-4fd8-4431-be90-006b1b981a0c
name,,Arjun,Elena,Sarah,Mike,Priya,David,Chloe,James,Lila,Sam
id,name,,,,,,,,,,
4845b080-fa42-441e-8796-1682541d16c7,Arjun,-1.0,0.5055000000000001,0.7475,0.542,0.76,0.8045,0.4945,0.706,0.5675,0.6419999999999999
ff2f7a0d-ae31-4027-8324-574a7b6e8956,Elena,0.5055000000000001,-1.0,0.4865,0.802,0.41450000000000004,0.33749999999999997,0.8025,0.489,0.7555000000000001,0.3765
455c0bbf-7c7e-4789-87f6-50f26e6e62c6,Sarah,0.7475,0.4865,-1.0,0.40049999999999997,0.485,0.756,0.5525,0.899,0.553,0.6319999999999999
c1e2dae7-4994-49b5-b64e-68ac6e3113cf,Mike,0.542,0.802,0.40049999999999997,-1.0,0.5375,0.5165,0.7435,0.646,0.9485,0.437
3500c8e4-ece4-4330-a791-b2f9f8630499,Priya,0.76,0.41450000000000004,0.485,0.5375,-1.0,0.6930000000000001,0.503,0.7985,0.5155000000000001,0.7315
c780c322-fd90-4905-bbbd-75d995407c93,David,0.8045,0.33749999999999997,0.756,0.5165,0.6930000000000001,-1.0,0.6735,0.7250000000000001,0.48250000000000004,0.843
ce08ed38-8287-4164-b658-1cdae67ebf1d,Chloe,0.4945,0.8025,0.5525,0.7435,0.503,0.6735,-1.0,0.5695,0.7375,0.513
fce7d420-1147-4707-b6f2-986359bed805,James,0.706,0.489,0.899,0.646,0.7985,0.7250000000000001,0.5695,-1.0,0.61,0.6445000000000001
059ae877-60dc-43d9-ae9c-39b8884b72a1,Lila,0.5675,0.7555000000000001,0.553,0.9485,0.5155000000000001,0.48250000000000004,0.7375,0.61,-1.0,0.42550000000000004
d1cb9490-4fd8-4431-be90-006b1b981a0c,Sam,0.6419999999999999,0.3765,0.6319999999999999,0.437,0.7315,0.843,0.513,0.6445000000000001,0.42550000000000004,-1.0
